sample_index,cluster,customer_text
518,4,The irony of having a dead iPhone is that now I have no way to get directions to the @115858 store. #justmillenialproblems #TeamAndroid
6988,0,@115858 what the fuck
1345,6,@AppleSupport having trouble to connect with I tunes in my new iPhone
696,2,"@AppleSupport why this always happen? Pls fix it, always need to restart my iPhone to get it back working"
1009,7,@AppleSupport I'm unable to log into my Apple ID on my Mac
6317,4,Hey @AppleSupport is there any way to uninstall an iOS update? My phone has been going crazy since I installed 11.0.3. It sucks so bad 😣😣😣😣
6595,7,@AppleSupport You got it-putting that on tomorrow’s docket
2770,2,"@AppleSupport I deleted the calendar app on my iPhone, which deleted it from my Apple Watch. I redone loaded Calendar on my iPhone, it’s showing up on my Apple Watch but doesn’t launch"
1074,2,"@AppleSupport It shows the white screen with the Apple on it, it loads about a third of the way and then shuts off"
1339,5,Having to go into my contacts to text somebody thanks to the new iOS update having hella bugs.. #GrindsMyGears @115858
2986,2,"@AppleSupport I erased Apple watch from my icloud, new user is unable to register pair apple watch, please help."
7709,2,"Uh, hey @AppleSupport my iphone 8 plus won't turn on. I plugged it in when I went to bed and I can't get it to turn on now. -______-"
6747,3,I AM FED UP OF SEEING THESE EXCLAMATION POINTS AND BOXED QUESTION MARKS @AppleSupport I need this fixedddd!!!!!!
4421,6,Unable to use Apple Music after purchasing Apple Music Plan @AppleSupport @115858 @116333
3392,1,Dear @115858 please FIX the battery issue on iOS 11 in the next update. Thank you!
1483,2,Is anyone else having issues with their iPhone freezing and acting weird since the most recent update? (11.0.3) @AppleSupport
4861,1,"@AppleSupport why has the latest iOS update absolutely destroyed my iPhone 6 Plus? The phone is now too slow for basic tasks, Poor"
1934,7,@AppleSupport IOS 11.1.1
1034,4,I️ updated my phone so the fact that I️ keep getting the question mark box is pissing me off @115858 stop trying to force me to get the x
5484,4,this newest update still hasn’t fixed the issue that MY PHONE DOESNT RING. @115858
2478,5,What’s up with the i on my phone lol y’all just gonna force me to update huh @AppleSupport
349,7,@AppleSupport I can’t find anywhere on there that’s going to help me!!
4393,2,@AppleSupport The problem burning up in my pocket by the Touch ID/Home button is also not working.
4352,7,@AppleSupport Yes
7557,7,@AppleSupport Thanks
1061,7,@AppleSupport Why can't I get through to anyone on chat or phone?!
879,5,Legit question I️ need a legit answer to @AppleSupport- why is my #iPhone randomly today now autocorrecting the word “I️” to this?
5602,5,Somebody really ate the whole apple this time eh @AppleSupport my whole phone messed up.
2542,5,"@116333 Tim, both my iPhones (7 & 6-plus) were hacked. It's major; I thought they were secure."
6423,2,Does anyone EVER get Apple’s ‘reading list’ to work offline in Safari? 🙄 What a load of old 💩. Any alternatives that work? @AppleSupport
6744,0,@115858 PLEASE FIX MY “I” key! Please stop making it turn I️ to symbols. I’m really over this ....
1850,4,@AppleSupport The beautiful #iOS11 App Store... all jumbled up on an #iPhone7. #iOS11Fail #AppleFail #MoreProblems: can’t get Live photos to ever turn off. And now my ear constantly hits the numbers during a call triggering a tone. On 11.1.1 #annoyed
5402,5,@115858 what the fuck?? I forgot my itunes password and you email to say you will call me in 14 days to help me reset it?
1677,4,ios 11 wrecked my phone and i have no recourse or way to fix it thanks a lot @115858
1835,4,hey @115858 I bought my iPhone 8 a week ago and my phone has died overnight while charged at 50% two nights in a row 😶😶
7111,2,@AppleSupport Ive had this freaking 8plus for alittle over a MONTH and its already slow and glitchy? makes no sense to me.
4952,7,@AppleSupport oh ok. Thanks!
4704,7,@AppleSupport help me out
5199,7,Why?? I'm connected to WiFi and I tried on my mobile data... Wtf is wrong with @AppleSupport??
457,2,Hey @AppleSupport notice a problem? The time at the top & the time on the clock don’t match.
4647,7,.@AppleSupport make it stoppppp
6507,6,@AppleSupport my 5th gen iPod will not play my music. It says the item is unavailable. How do I get my music to play?
3182,4,This new update sucks why is it so slow @115858
5337,4,@115858 iso 11.0.2 is terrible drains the hell out of my phone. Within 15mins it’s down 50%. Bloody annoyed 😩
1945,1,@AppleSupport iOS 11.0.3 has made my phone glitchy and loses battery so quick :-(
6124,1,Iphone 6 heats and battery draining very fast after upgrading to ios 11. Is there any fix for this? @115858 @AppleSupport @2310 @115858
3263,1,The iOS 11 is causing my iphone 6s+’s battery to drain faster. I hate it. @AppleSupport
6522,6,@AppleSupport iPhone 7. No happens in SoundCloud also
6521,3,Facts! @AppleSupport @115858 this update messed up my phone. I️ can’t type the word “i “ with out I️ showing up
6702,3,@AppleSupport Like let me type you a sentence I️ love when my iPhone glitches
2988,7,@AppleSupport Also a gap at the top after it was replaced.
7020,2,"@AppleSupport hi, why can’t I see PDF files that I received on my email or my iPhone SE?"
1550,4,UGHHHH @115858 WHAT IS EVEN THIS. Imagine trying to navigate hieroglyphics at 2am when you wake up after your phone ambush-updates you.
2164,2,@AppleSupport help!! I updated my MacBook Pro mid 2012 to High Sierra last night and it’s super super slow. I need it for school (finals week coming) I’m so upset. :(
586,1,@AppleSupport Yes because I have tried changing it with an adapter and the battery depleted
2405,7,@AppleSupport I don’t think that’s the problem...
6800,2,"@AppleSupport iCloud backup's been enabled since I got the📱 I'm on 11.0.3. I've tried 🔄 network settings, cycling power, no change. Still climbing."
3428,3,"@AppleSupport is this normal? When I️ tap that symbol, it defaults to “I️”"
2609,3,@AppleSupport still no fix for the “I” issue
3656,2,@AppleSupport It works on WiFi but when I clearly have cell signal it won’t work
3214,2,@AppleSupport Yes I have and also have problems when I’m in. Web page and I press the bottom to close exit and got to another app
3534,7,"@AppleSupport Getting loads of spam emails disguised as Apple. Very hard to tell what's genuine, how can I be sure?"
3286,2,@AppleSupport @115858 why can’t sierra be downloaded now that high sierra was released?
2080,2,@AppleSupport I have an old MacBook Air and I'm trying to update the OS but each time I input the username and password it asks for a code. I get the code but there is no where to input it.
6955,7,"Thanks, @AppleSupport! You’re a real doll."
6487,4,Yo I just lost 20% of my battery life in 2 minutes because I updated 5 apps. Fix your shit dude @115858
647,6,"@AppleSupport No, don’t have any other. Also when this happen, my headphones won’t allow skipping songs and volume control"
222,4,I updated my phone & im still seeing boxes. @115858 really got me fucked up & I’m about to take my ass back to @1647.
6889,2,Hey @AppleSupport this seems like a bug in latest iOS.
7678,2,@AppleSupport iPhone 6 se iOS 11.0.2 but I’m gonna update to the new one rn
23,7,@AppleSupport Ahhhh yess I’m eligible! Thank you so much
1905,3,When you try to type “i” but it shows up as “! [A]” @AppleSupport what’s up
4078,2,@AppleSupport 2 apps on my iPhone 6s running the latest version of iOS 11 aren’t updating. Have been waiting a few hours now. Please advise.
1554,3,"@AppleSupport Thanks, the problem with the “I” appears to be fixed."
5723,2,@AppleSupport Still experiencing the issue after the update!
5204,3,@AppleSupport Helpppp all my texts just vanished ?
7700,1,Anyone else’s battery life awful on iOS 11? @AppleSupport
5840,2,"@AppleSupport 10.12.6, and it persists after reboots and signing out and back into iMessage."
4945,2,@AppleSupport since I updated to ios11 my (new) 7plus keeps freezing and not responding. Lost count of the amount of resets I’ve had to do!
1407,4,@AppleSupport do you know how many people lost there phone data because of your software updateMy phone still not working give me solution
65,2,@AppleSupport the issue no :100316313800 has not been solved for more than 1 month and apple cannot give any further information!
6340,7,"@AppleSupport Yes, I’ve done both. It’s been saying about 1 hour remaining for the past 2 hours."
1044,7,"This is seriously a thing? Even in my predictive text? Get it together,@AppleSupport"
6688,2,"@AppleSupport whenever I try to see the photos that I’ve just taken my #iphone6 shows me this. I’ve reset it, I’ve restored it... help?"
7924,1,@AppleSupport you guys have killed the battery life on my 6S Plus. Thanks .
4743,2,Hi @AppleSupport! I wanted to visit an Apple Store tonight to purchase a new phone/transfer contents of old phone. Do I need to make an appointment for that?
2031,2,"@AppleSupport ...not really! Bar charged ok (however no black screen + white bar like usual) but then screen black and colored raws appear slowly until login window appeared, now is like this (I think it should be centred) now I’m going to enter and reboot."
5824,1,@AppleSupport @560353 Battery life decreased significantly here too since update. I can watch it dropping 😩
5244,7,@AppleSupport I can’t screenshot it cause it’s there for a second & ive since cleared my iCloud because it’s been so annoying.Its too late I’m already mad
5036,2,@AppleSupport Please help my iPhone 5S w/ iOS 11.0.2 could not be activated after erased all contents & settings via settings reset menu
554,4,Since this new iPhone update my phone is nothing but a piece a crap. Never had I had a phone so slow skinny the simplest tasks @AppleSupport
7311,7,@AppleSupport IPhone 7
4394,2,@AppleSupport why is it that Photos is always trying to upload the whole library to iCloud? I’ve verified all pics are present in the cloud.
5394,0,@115858 Pls fix this -> I️ it’s getting really annoying thx bye
3535,2,@AppleSupport They are not on the same iOS one is 11.0.2 and the other is 11.1.2 I am updating the iPhone 8plus now and Ithink this should fix the problem so both are on the same software version
1699,5,@AppleSupport tweeting from a free WiFi kiosk to let y’all know this damn phone doesn’t work bye
6726,1,"@AppleSupport Take 3 hours to charge my iPhone , never happen before . When I had iPhone 5 only 30 min or 1 hour no more time. When I bought this only 1h"
1055,0,"@115858 I️ downloaded the new update and now a bunch of random question marks and boxes come up when I️ try to write certain things, wtf"
1406,5,Hey @115858 what is up with this “I️” glitch where it looks like “A ?” Very annoying because I️ talk about myself plenty
3767,4,Thanks @115858 for deleting all my numbers files from all my devices and the cloud with the latest update 🤬
601,0,@115858 FIX THIS FUCKING UPDATE OR JUST GET RID OF THE WHOLE THING!
1383,6,"@AppleSupport I have an Airplay problem, any ideas? (whole thread)"
3332,4,"My phone dies like 10x a day, fix this @115858"
2118,1,@AppleSupport since the last 2 updates the battery on my 6s drains within an hour .current update 11.1.2 has not fixed either any ideas
4319,6,"@AppleSupport And every morning when I wake up my phone, my Bluetooth is turned on. I never keep my Bluetooth on unless I need to use it"
1912,4,"Hey @115858 fix #ios11 my #iPhone7Plus battery dies quicker now, phone heats up more, problems with Apple Pay, app crashing etc."
3684,2,@AppleSupport guys I’ve had this iPad Pro 6 weeks and the screen has bowed out - very disappointing
7582,2,@AppleSupport Yes my contacts are synced and i am using ios 11.1.2
